rank, build, set, map, avg_entry, file, check, merge, total
0, 1587ms, 159299, 1495924, 9.390668, 875074B, 559ms, 12ms, 2158ms
1, 1536ms, 149464, 1549656, 10.368089, 875084B, 622ms, 0ms, 2159ms
2, 1593ms, 158106, 1534619, 9.706267, 875070B, 529ms, 0ms, 2122ms
3, 1547ms, 161206, 1531573, 9.500720, 875087B, 565ms, 0ms, 2112ms
4, 1385ms, 152756, 1554834, 10.178546, 875073B, 646ms, 1ms, 2034ms
5, 1597ms, 147700, 1575581, 10.667441, 875077B, 587ms, 0ms, 2184ms
6, 1455ms, 163798, 1515663, 9.253245, 875086B, 570ms, 1ms, 2026ms
7, 1665ms, 157896, 1542503, 9.769108, 875084B, 500ms, 0ms, 2165ms
