rank, build, set, map, avg_entry, file, check, merge, total
0, 1035ms, 11330, 80560, 7.110327, 53783B, 1820ms, 171ms, 3027ms
1, 1030ms, 13022, 83296, 6.396560, 53784B, 1826ms, 19ms, 2875ms
2, 1026ms, 12224, 86292, 7.059228, 53784B, 1808ms, 22ms, 2856ms
3, 1014ms, 11572, 89625, 7.744988, 53784B, 1820ms, 23ms, 2858ms
4, 1053ms, 12258, 89106, 7.269212, 53788B, 1820ms, 27ms, 2900ms
5, 1050ms, 12736, 86105, 6.760757, 53783B, 1823ms, 28ms, 2902ms
6, 985ms, 12870, 85003, 6.604740, 53782B, 1822ms, 30ms, 2838ms
7, 998ms, 12602, 87130, 6.913982, 53790B, 1811ms, 32ms, 2841ms
8, 924ms, 13196, 83682, 6.341467, 53787B, 1825ms, 38ms, 2788ms
9, 930ms, 12478, 87447, 7.008094, 53781B, 1819ms, 40ms, 2790ms
10, 1028ms, 12322, 87768, 7.122870, 53788B, 1812ms, 41ms, 2883ms
11, 1029ms, 11552, 90723, 7.853445, 53786B, 1812ms, 43ms, 2884ms
12, 408ms, 12892, 85012, 6.594167, 53778B, 1815ms, 44ms, 2268ms
13, 417ms, 12268, 86055, 7.014591, 53787B, 1806ms, 46ms, 2270ms
14, 1036ms, 12336, 87474, 7.090953, 53780B, 1824ms, 48ms, 2909ms
15, 1037ms, 13014, 87204, 6.700784, 53806B, 1827ms, 46ms, 2911ms
