rank, build, set, map, avg_entry, file, check, merge, total
0, 459ms, 24276, 162105, 6.677583, 107567B, 2186ms, 165ms, 2810ms
1, 519ms, 23796, 174278, 7.323836, 107568B, 2161ms, 11ms, 2692ms
2, 445ms, 24994, 174551, 6.983716, 107571B, 2149ms, 17ms, 2612ms
3, 471ms, 25472, 171294, 6.724796, 107572B, 2170ms, 20ms, 2662ms
4, 418ms, 25676, 169470, 6.600327, 107574B, 2175ms, 29ms, 2622ms
5, 587ms, 23872, 177135, 7.420199, 107568B, 2141ms, 31ms, 2760ms
6, 567ms, 25162, 168781, 6.707774, 107572B, 2158ms, 35ms, 2760ms
7, 564ms, 25348, 173740, 6.854190, 107579B, 2165ms, 32ms, 2762ms
