rank, build, set, map, avg_entry, file, check, merge, total
0, 1210ms, 38544, 364368, 9.453300, 218768B, 967ms, 49ms, 2227ms
1, 1164ms, 38584, 391234, 10.139799, 218762B, 999ms, 0ms, 2163ms
2, 1271ms, 40912, 381253, 9.318855, 218769B, 899ms, 0ms, 2171ms
3, 1161ms, 41558, 374989, 9.023269, 218775B, 1002ms, 0ms, 2163ms
4, 1124ms, 38578, 385757, 9.999404, 218764B, 957ms, 0ms, 2082ms
5, 1088ms, 38120, 387922, 10.176338, 218774B, 993ms, 38ms, 2121ms
6, 1121ms, 37906, 388824, 10.257585, 218763B, 960ms, 38ms, 2121ms
7, 1100ms, 34858, 396926, 11.386941, 218747B, 981ms, 38ms, 2121ms
8, 1027ms, 33508, 398512, 11.893040, 218788B, 955ms, 0ms, 1983ms
9, 1051ms, 39612, 391251, 9.877083, 218773B, 1023ms, 39ms, 2114ms
10, 1074ms, 42126, 377277, 8.955918, 218770B, 1011ms, 39ms, 2124ms
11, 1051ms, 42862, 373028, 8.703000, 218775B, 930ms, 38ms, 2021ms
12, 1164ms, 40808, 380407, 9.321873, 218765B, 955ms, 0ms, 2119ms
13, 1216ms, 34606, 400339, 11.568485, 218769B, 959ms, 39ms, 2215ms
14, 1169ms, 42474, 378712, 8.916325, 218769B, 949ms, 39ms, 2158ms
15, 1166ms, 43316, 378896, 8.747253, 218770B, 953ms, 38ms, 2158ms
16, 1137ms, 42800, 375347, 8.769790, 218765B, 978ms, 0ms, 2116ms
17, 1144ms, 34528, 397935, 11.524994, 218773B, 971ms, 38ms, 2154ms
18, 1135ms, 40174, 387704, 9.650620, 218771B, 979ms, 39ms, 2154ms
19, 1139ms, 35254, 402929, 11.429313, 218764B, 975ms, 11ms, 2126ms
20, 1212ms, 40296, 389839, 9.674385, 218769B, 975ms, 0ms, 2188ms
21, 1213ms, 36056, 395516, 10.969492, 218769B, 975ms, 39ms, 2227ms
22, 1214ms, 36620, 395982, 10.813271, 218772B, 974ms, 7ms, 2195ms
23, 1214ms, 34728, 402854, 11.600265, 218766B, 974ms, 38ms, 2227ms
24, 558ms, 37884, 391186, 10.325890, 218772B, 951ms, 0ms, 1510ms
25, 712ms, 43308, 375472, 8.669807, 218762B, 928ms, 38ms, 1679ms
26, 706ms, 42980, 373862, 8.698511, 218778B, 934ms, 39ms, 1680ms
27, 572ms, 39622, 387195, 9.772223, 218767B, 937ms, 39ms, 1548ms
28, 1088ms, 36674, 393496, 10.729563, 218768B, 958ms, 0ms, 2048ms
29, 1094ms, 35260, 396386, 11.241804, 218760B, 953ms, 0ms, 2047ms
30, 1089ms, 40372, 389925, 9.658303, 218772B, 958ms, 0ms, 2048ms
31, 1084ms, 45596, 371955, 8.157623, 218806B, 963ms, 0ms, 2048ms
