rank, build, set, map, avg_entry, file, check, merge, total
0, 1239ms, 17648, 175406, 9.939143, 109382B, 1161ms, 102ms, 2504ms
1, 1221ms, 20934, 190845, 9.116509, 109386B, 1179ms, 0ms, 2401ms
2, 1271ms, 18852, 197210, 10.460959, 109379B, 1129ms, 0ms, 2401ms
3, 1223ms, 19732, 195270, 9.896108, 109383B, 1178ms, 0ms, 2401ms
4, 1246ms, 20638, 193619, 9.381675, 109385B, 1155ms, 0ms, 2401ms
5, 1235ms, 20274, 188744, 9.309658, 109384B, 1165ms, 0ms, 2401ms
6, 1248ms, 21112, 189764, 8.988443, 109388B, 1152ms, 0ms, 2401ms
7, 1245ms, 20444, 188164, 9.203874, 109375B, 1155ms, 0ms, 2401ms
8, 1107ms, 18804, 194471, 10.342002, 109374B, 1150ms, 0ms, 2258ms
9, 1096ms, 19776, 193776, 9.798544, 109402B, 1158ms, 91ms, 2346ms
10, 1101ms, 17826, 198515, 11.136262, 109385B, 1151ms, 91ms, 2344ms
11, 1096ms, 20292, 190366, 9.381333, 109379B, 1157ms, 91ms, 2346ms
12, 1115ms, 20090, 190229, 9.468840, 109389B, 1139ms, 0ms, 2255ms
13, 1100ms, 17818, 199456, 11.194073, 109384B, 1152ms, 91ms, 2344ms
14, 1114ms, 19966, 192882, 9.660523, 109377B, 1138ms, 91ms, 2344ms
15, 1105ms, 14892, 205094, 13.772092, 109370B, 1149ms, 90ms, 2346ms
16, 1093ms, 13026, 207231, 15.909028, 109406B, 1150ms, 0ms, 2245ms
17, 1053ms, 20482, 191937, 9.371009, 109382B, 1190ms, 91ms, 2335ms
18, 1036ms, 21480, 191465, 8.913641, 109379B, 1170ms, 91ms, 2298ms
19, 1059ms, 18130, 201237, 11.099669, 109383B, 1134ms, 90ms, 2285ms
20, 1080ms, 21582, 189735, 8.791354, 109386B, 1163ms, 91ms, 2335ms
21, 1038ms, 20544, 189672, 9.232477, 109381B, 1168ms, 91ms, 2298ms
22, 1058ms, 21716, 187555, 8.636719, 109389B, 1135ms, 91ms, 2285ms
23, 1057ms, 21144, 188401, 8.910376, 109383B, 1136ms, 91ms, 2285ms
24, 1131ms, 20836, 189386, 9.089365, 109387B, 1147ms, 92ms, 2371ms
25, 1155ms, 19974, 193046, 9.664864, 109382B, 1155ms, 92ms, 2402ms
26, 1169ms, 15288, 205767, 13.459380, 109379B, 1140ms, 91ms, 2402ms
27, 1129ms, 19318, 194848, 10.086344, 109393B, 1149ms, 91ms, 2371ms
28, 1131ms, 18432, 197547, 10.717611, 109374B, 1147ms, 92ms, 2371ms
29, 1130ms, 24040, 182086, 7.574293, 109390B, 1148ms, 92ms, 2371ms
30, 1129ms, 22304, 188629, 8.457183, 109385B, 1149ms, 92ms, 2371ms
31, 1131ms, 21014, 192309, 9.151470, 109384B, 1148ms, 91ms, 2371ms
32, 1041ms, 21302, 190756, 8.954840, 109379B, 1153ms, 0ms, 2196ms
33, 1040ms, 21496, 187216, 8.709341, 109388B, 1154ms, 91ms, 2286ms
34, 1048ms, 14698, 205287, 13.967002, 109380B, 1147ms, 5ms, 2200ms
35, 1040ms, 19830, 193136, 9.739586, 109373B, 1155ms, 91ms, 2286ms
36, 1041ms, 20500, 192243, 9.377707, 109397B, 1154ms, 91ms, 2286ms
37, 1041ms, 19674, 196311, 9.978195, 109380B, 1153ms, 91ms, 2287ms
38, 1044ms, 16712, 203792, 12.194351, 109387B, 1151ms, 91ms, 2286ms
39, 1042ms, 18542, 200247, 10.799644, 109377B, 1152ms, 91ms, 2286ms
40, 1241ms, 20294, 195796, 9.647975, 109397B, 1140ms, 92ms, 2474ms
41, 1259ms, 20002, 195060, 9.752025, 109371B, 1122ms, 92ms, 2474ms
42, 1240ms, 19402, 195029, 10.052005, 109378B, 1141ms, 91ms, 2474ms
43, 1246ms, 16656, 201810, 12.116354, 109402B, 1135ms, 92ms, 2474ms
44, 1245ms, 17976, 198146, 11.022808, 109385B, 1137ms, 92ms, 2474ms
45, 1242ms, 18642, 198715, 10.659532, 109375B, 1139ms, 92ms, 2474ms
46, 1244ms, 17362, 202093, 11.639961, 109386B, 1137ms, 92ms, 2474ms
47, 1242ms, 17366, 201519, 11.604227, 109378B, 1139ms, 91ms, 2474ms
48, 564ms, 17112, 201873, 11.797160, 109395B, 1140ms, 0ms, 1705ms
49, 843ms, 20770, 189528, 9.125084, 109385B, 1125ms, 91ms, 2060ms
50, 834ms, 21160, 190634, 9.009168, 109386B, 1133ms, 91ms, 2060ms
51, 824ms, 22150, 186259, 8.408984, 109375B, 1138ms, 91ms, 2054ms
52, 839ms, 20238, 192517, 9.512649, 109383B, 1128ms, 0ms, 1968ms
53, 835ms, 22740, 183922, 8.088039, 109393B, 1133ms, 91ms, 2060ms
54, 565ms, 20616, 191488, 9.288320, 109383B, 1139ms, 91ms, 1797ms
55, 841ms, 19006, 197225, 10.376986, 109385B, 1127ms, 91ms, 2060ms
56, 1085ms, 20134, 194442, 9.657395, 109384B, 1138ms, 0ms, 2225ms
57, 1091ms, 16542, 199937, 12.086628, 109373B, 1132ms, 91ms, 2315ms
58, 1085ms, 20432, 192718, 9.432165, 109387B, 1138ms, 91ms, 2315ms
59, 1090ms, 14830, 204285, 13.775118, 109382B, 1133ms, 91ms, 2315ms
60, 1088ms, 19396, 197036, 10.158589, 109388B, 1135ms, 0ms, 2224ms
61, 1085ms, 20974, 193897, 9.244636, 109378B, 1138ms, 0ms, 2224ms
62, 1084ms, 22242, 186618, 8.390343, 109396B, 1139ms, 0ms, 2225ms
63, 1084ms, 23358, 187389, 8.022476, 109444B, 1140ms, 0ms, 2225ms
