rank, build, set, map, avg_entry, file, check, merge, total
0, 879ms, 277, 2063, 7.447653, 1239B, 1146ms, 256ms, 2282ms
1, 878ms, 298, 2139, 7.177852, 1250B, 1147ms, 0ms, 2026ms
2, 879ms, 312, 2126, 6.814103, 1245B, 1146ms, 0ms, 2026ms
3, 878ms, 298, 2079, 6.976510, 1242B, 1146ms, 0ms, 2026ms
4, 879ms, 282, 2138, 7.581560, 1245B, 1146ms, 0ms, 2026ms
5, 878ms, 348, 1985, 5.704023, 1247B, 1146ms, 0ms, 2026ms
6, 879ms, 350, 2005, 5.728571, 1239B, 1146ms, 0ms, 2026ms
7, 879ms, 336, 2108, 6.273810, 1247B, 1146ms, 0ms, 2026ms
8, 933ms, 332, 2098, 6.319277, 1245B, 1146ms, 0ms, 2080ms
9, 895ms, 294, 2145, 7.295918, 1249B, 1146ms, 31ms, 2074ms
10, 882ms, 316, 2116, 6.696203, 1240B, 1146ms, 46ms, 2076ms
11, 895ms, 248, 2176, 8.774194, 1251B, 1146ms, 29ms, 2072ms
12, 882ms, 228, 2274, 9.973684, 1238B, 1146ms, 0ms, 2030ms
13, 883ms, 252, 2202, 8.738095, 1244B, 1146ms, 35ms, 2065ms
14, 882ms, 314, 2165, 6.894904, 1250B, 1146ms, 45ms, 2074ms
15, 883ms, 336, 2105, 6.264881, 1244B, 1147ms, 42ms, 2073ms
16, 692ms, 266, 2255, 8.477444, 1237B, 1147ms, 0ms, 1839ms
17, 698ms, 270, 2223, 8.233333, 1248B, 1147ms, 68ms, 1914ms
18, 696ms, 352, 2077, 5.900568, 1250B, 1147ms, 75ms, 1919ms
19, 745ms, 296, 2172, 7.337838, 1242B, 1147ms, 40ms, 1933ms
20, 691ms, 286, 2239, 7.828671, 1247B, 1147ms, 58ms, 1897ms
21, 780ms, 274, 2259, 8.244526, 1251B, 1147ms, 91ms, 2019ms
22, 745ms, 338, 2052, 6.071006, 1239B, 1147ms, 39ms, 1931ms
23, 745ms, 336, 2038, 6.065476, 1244B, 1146ms, 37ms, 1929ms
24, 758ms, 320, 2169, 6.778125, 1250B, 1146ms, 72ms, 1977ms
25, 757ms, 342, 2101, 6.143275, 1244B, 1146ms, 66ms, 1971ms
26, 757ms, 354, 2054, 5.802260, 1245B, 1146ms, 27ms, 1932ms
27, 758ms, 342, 2093, 6.119883, 1245B, 1146ms, 23ms, 1928ms
28, 757ms, 308, 2169, 7.042208, 1246B, 1146ms, 78ms, 1983ms
29, 757ms, 262, 2231, 8.515267, 1239B, 1146ms, 20ms, 1925ms
30, 758ms, 234, 2291, 9.790598, 1244B, 1146ms, 86ms, 1991ms
31, 757ms, 360, 2103, 5.841667, 1252B, 1147ms, 48ms, 1953ms
32, 506ms, 372, 2040, 5.483871, 1245B, 1146ms, 1ms, 1654ms
33, 506ms, 344, 2046, 5.947674, 1239B, 1146ms, 15ms, 1668ms
34, 506ms, 356, 2048, 5.752809, 1253B, 1146ms, 11ms, 1664ms
35, 506ms, 316, 2098, 6.639241, 1244B, 1146ms, 13ms, 1667ms
36, 506ms, 326, 2096, 6.429448, 1245B, 1146ms, 17ms, 1670ms
37, 506ms, 338, 2156, 6.378698, 1241B, 1146ms, 13ms, 1667ms
38, 506ms, 324, 2122, 6.549383, 1242B, 1146ms, 13ms, 1667ms
39, 506ms, 308, 2112, 6.857143, 1248B, 1146ms, 13ms, 1666ms
40, 917ms, 320, 2153, 6.728125, 1247B, 1146ms, 61ms, 2125ms
41, 917ms, 296, 2144, 7.243243, 1242B, 1146ms, 51ms, 2116ms
42, 917ms, 340, 2040, 6.000000, 1249B, 1146ms, 53ms, 2117ms
43, 917ms, 270, 2226, 8.244444, 1247B, 1146ms, 55ms, 2119ms
44, 917ms, 268, 2198, 8.201493, 1243B, 1146ms, 90ms, 2154ms
45, 917ms, 280, 2233, 7.975000, 1244B, 1146ms, 57ms, 2121ms
46, 917ms, 338, 2054, 6.076923, 1237B, 1146ms, 65ms, 2129ms
47, 917ms, 270, 2251, 8.337037, 1254B, 1147ms, 87ms, 2152ms
48, 476ms, 258, 2273, 8.810078, 1245B, 1147ms, 1ms, 1624ms
49, 476ms, 336, 2080, 6.190476, 1241B, 1147ms, 62ms, 1686ms
50, 815ms, 354, 2075, 5.861582, 1250B, 1147ms, 70ms, 2032ms
51, 814ms, 322, 2079, 6.456522, 1245B, 1147ms, 81ms, 2043ms
52, 815ms, 336, 2024, 6.023810, 1237B, 1147ms, 0ms, 1962ms
53, 815ms, 334, 2121, 6.350299, 1244B, 1147ms, 74ms, 2036ms
54, 814ms, 320, 2110, 6.593750, 1252B, 1147ms, 79ms, 2041ms
55, 815ms, 280, 2156, 7.700000, 1240B, 1147ms, 83ms, 2046ms
56, 676ms, 292, 2150, 7.363014, 1249B, 1146ms, 1ms, 1824ms
57, 676ms, 330, 2040, 6.181818, 1246B, 1146ms, 22ms, 1844ms
58, 676ms, 352, 2014, 5.721591, 1245B, 1146ms, 25ms, 1848ms
59, 676ms, 294, 2171, 7.384354, 1246B, 1146ms, 33ms, 1856ms
60, 675ms, 300, 2234, 7.446667, 1241B, 1146ms, 1ms, 1824ms
61, 676ms, 334, 2182, 6.532934, 1249B, 1146ms, 0ms, 1822ms
62, 676ms, 348, 2029, 5.830460, 1245B, 1146ms, 1ms, 1824ms
63, 676ms, 372, 2092, 5.623656, 1273B, 1148ms, 0ms, 1824ms
