rank, build, set, map, avg_entry, file, check, merge, total
0, 257ms, 2503, 16330, 6.524171, 9961B, 801ms, 180ms, 1239ms
1, 352ms, 2320, 17053, 7.350431, 9962B, 801ms, 8ms, 1162ms
2, 305ms, 2420, 17160, 7.090909, 9966B, 800ms, 14ms, 1120ms
3, 264ms, 2520, 16983, 6.739286, 9957B, 800ms, 16ms, 1081ms
4, 328ms, 2686, 16364, 6.092331, 9968B, 800ms, 25ms, 1154ms
5, 362ms, 2382, 16991, 7.133081, 9961B, 800ms, 27ms, 1191ms
6, 313ms, 2542, 16501, 6.491345, 9963B, 800ms, 31ms, 1145ms
7, 351ms, 2616, 16580, 6.337920, 9968B, 804ms, 44ms, 1199ms
