rank, build, set, map, avg_entry, file, check, merge, total
0, 880ms, 575, 4184, 7.276522, 2489B, 1127ms, 209ms, 2217ms
1, 880ms, 610, 4195, 6.877049, 2487B, 1127ms, 0ms, 2008ms
2, 880ms, 630, 4111, 6.525397, 2492B, 1127ms, 11ms, 2020ms
3, 880ms, 686, 4051, 5.905248, 2486B, 1127ms, 13ms, 2021ms
4, 985ms, 626, 4219, 6.739617, 2494B, 1127ms, 15ms, 2127ms
5, 979ms, 564, 4280, 7.588652, 2491B, 1127ms, 54ms, 2160ms
6, 985ms, 480, 4468, 9.308333, 2482B, 1127ms, 55ms, 2167ms
7, 979ms, 650, 4256, 6.547692, 2494B, 1127ms, 27ms, 2134ms
8, 960ms, 536, 4470, 8.339552, 2485B, 1127ms, 0ms, 2088ms
9, 967ms, 648, 4240, 6.543210, 2492B, 1127ms, 59ms, 2154ms
10, 960ms, 560, 4494, 8.025000, 2498B, 1127ms, 60ms, 2148ms
11, 968ms, 674, 4024, 5.970326, 2483B, 1127ms, 61ms, 2157ms
12, 904ms, 662, 4246, 6.413897, 2494B, 1127ms, 62ms, 2094ms
13, 906ms, 696, 4099, 5.889368, 2490B, 1127ms, 24ms, 2058ms
14, 903ms, 570, 4396, 7.712281, 2485B, 1127ms, 68ms, 2100ms
15, 904ms, 594, 4392, 7.393939, 2496B, 1127ms, 69ms, 2101ms
16, 715ms, 716, 4021, 5.615922, 2484B, 1127ms, 70ms, 1914ms
17, 715ms, 672, 4108, 6.113095, 2497B, 1127ms, 51ms, 1894ms
18, 715ms, 664, 4228, 6.367470, 2486B, 1127ms, 72ms, 1915ms
19, 715ms, 632, 4219, 6.675633, 2490B, 1127ms, 49ms, 1892ms
20, 982ms, 616, 4261, 6.917208, 2489B, 1127ms, 73ms, 2183ms
21, 982ms, 610, 4226, 6.927869, 2496B, 1127ms, 39ms, 2149ms
22, 982ms, 548, 4419, 8.063869, 2487B, 1127ms, 30ms, 2139ms
23, 982ms, 608, 4285, 7.047697, 2491B, 1127ms, 31ms, 2141ms
24, 313ms, 594, 4335, 7.297980, 2486B, 1127ms, 76ms, 1517ms
25, 492ms, 676, 4120, 6.094675, 2495B, 1127ms, 77ms, 1697ms
26, 492ms, 670, 4075, 6.082090, 2481B, 1127ms, 78ms, 1698ms
27, 314ms, 600, 4234, 7.056667, 2492B, 1127ms, 88ms, 1530ms
28, 937ms, 622, 4190, 6.736334, 2495B, 1127ms, 89ms, 2154ms
29, 937ms, 646, 4145, 6.416409, 2491B, 1127ms, 90ms, 2155ms
30, 937ms, 634, 4407, 6.951104, 2490B, 1127ms, 91ms, 2156ms
31, 937ms, 720, 4060, 5.638889, 2518B, 1129ms, 90ms, 2156ms
