rank, build, set, map, avg_entry, file, check, merge, total
0, 713ms, 1994, 16064, 8.056169, 13445B, 1452ms, 257ms, 2423ms
1, 715ms, 3128, 22288, 7.125320, 13447B, 1451ms, 0ms, 2166ms
2, 717ms, 3132, 21950, 7.008301, 13446B, 1449ms, 0ms, 2166ms
3, 715ms, 3098, 21869, 7.059070, 13445B, 1451ms, 0ms, 2166ms
4, 716ms, 3238, 21971, 6.785361, 13447B, 1450ms, 0ms, 2166ms
5, 716ms, 3318, 20967, 6.319168, 13440B, 1450ms, 0ms, 2166ms
6, 716ms, 3194, 21981, 6.881966, 13447B, 1450ms, 0ms, 2166ms
7, 715ms, 3272, 21034, 6.428484, 13450B, 1450ms, 0ms, 2166ms
8, 794ms, 3286, 21314, 6.486306, 13444B, 1450ms, 1ms, 2246ms
9, 794ms, 3060, 22120, 7.228758, 13447B, 1450ms, 46ms, 2291ms
10, 794ms, 3000, 22214, 7.404667, 13446B, 1450ms, 39ms, 2284ms
11, 777ms, 2878, 22249, 7.730716, 13447B, 1450ms, 48ms, 2276ms
12, 794ms, 2460, 23626, 9.604065, 13442B, 1450ms, 1ms, 2246ms
13, 777ms, 3038, 21827, 7.184661, 13450B, 1450ms, 40ms, 2268ms
14, 794ms, 3244, 21865, 6.740136, 13443B, 1450ms, 62ms, 2308ms
15, 777ms, 2830, 23115, 8.167845, 13449B, 1451ms, 63ms, 2292ms
16, 704ms, 2688, 23484, 8.736607, 13444B, 1451ms, 0ms, 2156ms
17, 704ms, 3456, 20940, 6.059028, 13449B, 1451ms, 91ms, 2247ms
18, 677ms, 3130, 22337, 7.136422, 13442B, 1451ms, 87ms, 2215ms
19, 663ms, 2982, 23135, 7.758216, 13441B, 1451ms, 69ms, 2184ms
20, 704ms, 3004, 22640, 7.536618, 13452B, 1451ms, 75ms, 2231ms
21, 677ms, 3276, 21382, 6.526862, 13448B, 1451ms, 93ms, 2221ms
22, 663ms, 3148, 22095, 7.018742, 13442B, 1450ms, 99ms, 2213ms
23, 663ms, 3308, 21782, 6.584643, 13447B, 1450ms, 68ms, 2182ms
24, 568ms, 3286, 21089, 6.417833, 13445B, 1450ms, 74ms, 2092ms
25, 596ms, 3274, 21216, 6.480147, 13447B, 1450ms, 66ms, 2113ms
26, 568ms, 3220, 21723, 6.746273, 13449B, 1450ms, 53ms, 2071ms
27, 568ms, 3092, 22444, 7.258732, 13447B, 1450ms, 98ms, 2116ms
28, 568ms, 2540, 24058, 9.471654, 13439B, 1449ms, 57ms, 2075ms
29, 568ms, 2672, 23375, 8.748129, 13447B, 1449ms, 96ms, 2114ms
30, 567ms, 3754, 19854, 5.288759, 13448B, 1450ms, 60ms, 2079ms
31, 568ms, 3634, 20862, 5.740782, 13447B, 1450ms, 72ms, 2090ms
32, 508ms, 3360, 21328, 6.347619, 13445B, 1450ms, 2ms, 1962ms
33, 508ms, 3454, 20943, 6.063405, 13445B, 1450ms, 43ms, 2002ms
34, 508ms, 3202, 21213, 6.624922, 13449B, 1450ms, 13ms, 1972ms
35, 508ms, 3180, 21878, 6.879874, 13445B, 1450ms, 21ms, 1980ms
36, 508ms, 2856, 22570, 7.902661, 13435B, 1450ms, 24ms, 1984ms
37, 508ms, 3202, 21700, 6.777014, 13451B, 1450ms, 28ms, 1987ms
38, 508ms, 3168, 22271, 7.029987, 13449B, 1450ms, 23ms, 1982ms
39, 508ms, 3252, 22306, 6.859164, 13451B, 1450ms, 26ms, 1986ms
40, 758ms, 3166, 22307, 7.045799, 13436B, 1450ms, 55ms, 2263ms
41, 758ms, 2960, 22621, 7.642230, 13454B, 1450ms, 35ms, 2243ms
42, 758ms, 3010, 22353, 7.426246, 13449B, 1450ms, 33ms, 2241ms
43, 757ms, 3184, 21876, 6.870603, 13442B, 1450ms, 31ms, 2240ms
44, 758ms, 2770, 23267, 8.399639, 13440B, 1449ms, 50ms, 2259ms
45, 758ms, 2944, 23020, 7.819293, 13452B, 1450ms, 37ms, 2245ms
46, 758ms, 3072, 21997, 7.160482, 13447B, 1450ms, 45ms, 2253ms
47, 758ms, 2766, 23217, 8.393709, 13440B, 1450ms, 58ms, 2267ms
48, 472ms, 3030, 22561, 7.445875, 13448B, 1450ms, 2ms, 1926ms
49, 760ms, 3536, 20483, 5.792704, 13449B, 1450ms, 85ms, 2297ms
50, 762ms, 3126, 21997, 7.036788, 13450B, 1449ms, 83ms, 2295ms
51, 761ms, 3202, 21599, 6.745472, 13442B, 1450ms, 79ms, 2291ms
52, 762ms, 3290, 21495, 6.533435, 13447B, 1449ms, 0ms, 2211ms
53, 762ms, 3150, 21765, 6.909524, 13444B, 1449ms, 89ms, 2301ms
54, 472ms, 3004, 21863, 7.277963, 13450B, 1450ms, 78ms, 2000ms
55, 762ms, 2822, 22985, 8.144933, 13443B, 1449ms, 81ms, 2293ms
56, 774ms, 3272, 21781, 6.656785, 13449B, 1449ms, 3ms, 2227ms
57, 774ms, 3288, 21540, 6.551095, 13442B, 1449ms, 21ms, 2246ms
58, 774ms, 2964, 22464, 7.578947, 13444B, 1449ms, 21ms, 2246ms
59, 774ms, 2814, 23526, 8.360341, 13445B, 1449ms, 21ms, 2246ms
60, 774ms, 2830, 23765, 8.397527, 13444B, 1449ms, 3ms, 2227ms
61, 774ms, 3328, 22046, 6.624399, 13451B, 1449ms, 0ms, 2224ms
62, 774ms, 3204, 21594, 6.739700, 13451B, 1449ms, 3ms, 2227ms
63, 774ms, 3654, 21071, 5.766557, 13473B, 1452ms, 0ms, 2227ms
