rank, build, set, map, avg_entry, file, check, merge, total
0, 1590ms, 77074, 751436, 9.749539, 437530B, 698ms, 36ms, 2326ms
1, 1531ms, 82470, 751808, 9.116139, 437544B, 758ms, 0ms, 2289ms
2, 1538ms, 76698, 770571, 10.046820, 437538B, 686ms, 0ms, 2225ms
3, 1501ms, 72764, 784664, 10.783684, 437510B, 722ms, 0ms, 2225ms
4, 1546ms, 73122, 788872, 10.788436, 437571B, 683ms, 0ms, 2230ms
5, 1665ms, 84986, 748642, 8.809004, 437535B, 564ms, 25ms, 2255ms
6, 1532ms, 75416, 780144, 10.344542, 437544B, 703ms, 21ms, 2257ms
7, 1544ms, 85788, 754776, 8.798154, 437529B, 686ms, 21ms, 2252ms
8, 1402ms, 77328, 769881, 9.956044, 437538B, 739ms, 1ms, 2143ms
9, 1405ms, 75430, 789212, 10.462840, 437549B, 736ms, 13ms, 2155ms
10, 1496ms, 76350, 783745, 10.265160, 437524B, 727ms, 22ms, 2245ms
11, 1496ms, 71350, 797095, 11.171619, 437553B, 727ms, 23ms, 2247ms
12, 862ms, 81194, 763222, 9.399980, 437541B, 700ms, 0ms, 1563ms
13, 927ms, 82602, 756825, 9.162308, 437536B, 635ms, 21ms, 1584ms
14, 1538ms, 71930, 787302, 10.945391, 437515B, 697ms, 1ms, 2236ms
15, 1549ms, 85968, 760235, 8.843232, 437578B, 687ms, 0ms, 2236ms
