rank, build, set, map, avg_entry, file, check, merge, total
0, 673ms, 5118, 38120, 7.448222, 26892B, 1659ms, 188ms, 2521ms
1, 657ms, 6230, 43427, 6.970626, 26891B, 1657ms, 38ms, 2353ms
2, 671ms, 6556, 42441, 6.473612, 26887B, 1653ms, 39ms, 2364ms
3, 657ms, 6466, 42239, 6.532478, 26897B, 1657ms, 40ms, 2355ms
4, 739ms, 6346, 42983, 6.773243, 26891B, 1656ms, 42ms, 2438ms
5, 739ms, 5878, 44131, 7.507826, 26893B, 1656ms, 43ms, 2439ms
6, 739ms, 5498, 45235, 8.227537, 26892B, 1656ms, 44ms, 2440ms
7, 739ms, 6074, 44662, 7.352980, 26892B, 1656ms, 44ms, 2441ms
8, 747ms, 6144, 44086, 7.175456, 26893B, 1653ms, 48ms, 2449ms
9, 669ms, 6112, 45102, 7.379254, 26883B, 1645ms, 48ms, 2364ms
10, 669ms, 6280, 43535, 6.932325, 26900B, 1648ms, 49ms, 2366ms
11, 748ms, 6456, 43585, 6.751084, 26889B, 1652ms, 50ms, 2451ms
12, 717ms, 6560, 42207, 6.433994, 26892B, 1655ms, 51ms, 2425ms
13, 739ms, 6312, 43719, 6.926331, 26896B, 1655ms, 52ms, 2447ms
14, 718ms, 5212, 47241, 9.063891, 26886B, 1654ms, 53ms, 2426ms
15, 715ms, 7388, 40093, 5.426773, 26895B, 1658ms, 53ms, 2427ms
16, 584ms, 6814, 41569, 6.100528, 26890B, 1658ms, 60ms, 2303ms
17, 586ms, 6382, 42443, 6.650423, 26894B, 1656ms, 61ms, 2304ms
18, 586ms, 6058, 43876, 7.242654, 26886B, 1656ms, 61ms, 2305ms
19, 586ms, 6420, 44164, 6.879128, 26900B, 1656ms, 62ms, 2305ms
20, 812ms, 6126, 44817, 7.315867, 26890B, 1656ms, 63ms, 2532ms
21, 812ms, 6194, 43785, 7.068938, 26891B, 1656ms, 64ms, 2533ms
22, 812ms, 5714, 46005, 8.051278, 26892B, 1656ms, 64ms, 2533ms
23, 812ms, 5838, 44914, 7.693388, 26887B, 1657ms, 37ms, 2507ms
24, 324ms, 6566, 42594, 6.487055, 26897B, 1654ms, 66ms, 2045ms
25, 407ms, 6328, 43070, 6.806258, 26892B, 1653ms, 66ms, 2127ms
26, 407ms, 6440, 42608, 6.616149, 26891B, 1653ms, 67ms, 2128ms
27, 327ms, 5826, 44480, 7.634741, 26893B, 1653ms, 68ms, 2049ms
28, 812ms, 6560, 42775, 6.520579, 26891B, 1657ms, 70ms, 2539ms
29, 813ms, 5778, 45715, 7.911907, 26889B, 1656ms, 71ms, 2540ms
30, 812ms, 6158, 45637, 7.411010, 26895B, 1657ms, 71ms, 2541ms
31, 812ms, 6858, 42139, 6.144503, 26924B, 1660ms, 79ms, 2551ms
