rank, build, set, map, avg_entry, file, check, merge, total
0, 897ms, 1185, 8329, 7.028692, 4976B, 878ms, 177ms, 1954ms
1, 898ms, 1318, 8050, 6.107739, 4985B, 878ms, 17ms, 1793ms
2, 933ms, 1188, 8436, 7.101010, 4978B, 878ms, 20ms, 1832ms
3, 928ms, 1132, 8711, 7.695230, 4984B, 878ms, 21ms, 1828ms
4, 869ms, 1184, 8681, 7.331926, 4979B, 878ms, 25ms, 1773ms
5, 870ms, 1234, 8502, 6.889789, 4979B, 878ms, 27ms, 1775ms
6, 859ms, 1356, 8286, 6.110619, 4976B, 878ms, 29ms, 1766ms
7, 859ms, 1166, 8773, 7.524014, 4989B, 878ms, 35ms, 1773ms
8, 828ms, 1388, 8043, 5.794669, 4980B, 878ms, 37ms, 1744ms
9, 828ms, 1296, 8422, 6.498457, 4980B, 878ms, 38ms, 1745ms
10, 866ms, 1226, 8384, 6.838499, 4983B, 878ms, 40ms, 1784ms
11, 865ms, 1156, 8692, 7.519031, 4976B, 878ms, 41ms, 1786ms
12, 376ms, 1270, 8445, 6.649606, 4983B, 878ms, 43ms, 1298ms
13, 376ms, 1272, 8232, 6.471698, 4985B, 878ms, 44ms, 1299ms
14, 844ms, 1266, 8256, 6.521327, 4974B, 878ms, 55ms, 1777ms
15, 844ms, 1352, 8435, 6.238905, 4999B, 880ms, 54ms, 1779ms
